#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-05-29T19:33:31 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60b296d3281370	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/239&tab:{I/239/hip_main}&key:source=I/239/hip_main&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=I/239/hip_main
#-order=I
#-out=HIP
#-out=Vmag
#-out=Plx
#-out=B-V
#-out=SpType
#HIPep=HIPep
#Erratum=Erratum
#

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a12)	Spectral type (H76)	[ucd=src.spType]
HIP;Vmag;Plx;B-V;SpType
 10543; 8.36;  14.46; 0.634;G1V
 10544; 8.41;   5.32; 1.009;G5
 10545; 8.77;  15.82; 0.593;G2V
 10546; 9.15;   4.23; 0.608;G2V
 10547; 8.08;   4.51; 0.369;F0III
 10548; 7.30;  11.95; 0.976;K0IV
 10549; 8.54;   7.44; 0.187;A0
 10550; 9.25;   6.65; 0.560;F8
 10551; 9.82;   1.26; 0.530;F6
 10552; 8.99;  26.37; 1.088;K7V:
 10553; 8.54;   2.51; 0.960;G5
 10554; 7.86;   6.71; 0.324;A5
 10555; 8.69;   4.98; 0.453;F3V
 10557; 7.04;   2.36; 1.869;K3Ib
 10556;11.15;  21.18; 1.290;K7
 10558; 8.06;   7.66; 0.516;F8
 10559; 5.25;  11.13;-0.004;A0V
 10560; 7.09;   6.12; 0.065;A2
 10561; 8.33;  12.65; 0.614;G0
 10562; 6.37;   7.05; 1.029;G9III-IV
 10563; 8.22;   7.55; 0.396;F0
 10564; 9.77;   6.93; 0.305;A0m...
 10565;10.10;   5.95; 0.573;G1V
 10566; 8.98;   6.04; 1.060;G2/G3V
 10567; 7.50;  20.84; 0.534;F6V
 10568; 7.98;   0.38;-0.051;B9
 10569; 8.22;   1.20; 1.529;K5
 10570; 7.14;  11.24; 0.475;F3V
 10571; 9.04;  -1.45; 1.092;K0III
 10572; 8.69;   1.70; 1.083;G8III
 10573; 9.45;   3.60; 0.700;G0
 10574; 9.51;   3.45; 1.070;G8/K0III/IV
 10575; 8.31;   9.74; 0.500;F7V
 10576; 8.42;   1.40; 1.440;M3e-M6e
 10577; 8.11;   2.49; 0.962;G8III
 10578; 9.32;   2.68; 0.900;G8III
 10579; 8.89;   7.23; 0.609;G3V
 10580; 8.24;   2.09; 1.499;K2
 10581; 8.13;  10.15; 0.435;F4V
 10582; 8.49;   4.13; 0.151;A2
 10583; 9.52;   5.23; 0.456;F6/F7Vw...
 10584; 6.91;  21.53; 0.623;G0
 10585; 8.53;   6.31; 0.124;B9V
 10586; 9.28;   3.85; 0.158;B8
 10587; 9.17;  15.54; 0.655;G5V
 10588; 8.28;  11.66; 0.450;G0
 10589;10.58;  17.71; 1.097;K7
 10590; 7.73;   9.65; 0.384;F0
 10591; 9.16;   1.85; 1.695;M0
 10592; 8.74;   2.04; 1.669;K3/K4III
 10593; 8.43;  -0.87; 1.129;K0
 10594; 9.16;   4.06; 0.505;F6/F7III/IV
 10595; 8.81;   2.12; 0.362;B9
 10596; 8.26;   5.27; 0.335;F0
 10597; 9.20;   5.07; 0.567;G0
 10598; 8.14;   1.98; 0.974;G8III
 10599; 7.99;  29.35; 0.790;G5
 10600; 7.26;   3.74; 1.119;G5
 10601; 7.61;   2.45; 1.050;K0III
 10602; 3.56;  21.06;-0.120;B8IV-V
 10603; 9.15;   3.36; 0.448;F3IV/V
 10604; 9.52;   1.61; 0.214;A0
 10605; 9.46;   3.66; 0.666;G3IV
 10606; 8.00;   4.72; 0.979;G5
 10607; 8.73;   1.78; 1.014;G5
 10608; 7.98;   1.49; 1.227;G8IV
 10609; 9.23;   2.20; 1.548;K5/M0III
 10610; 7.73;   2.44; 0.011;B5Ve...
 10611; 9.04;  16.20; 0.697;G5V
 10612; 7.47;   4.37; 0.455;F2
 10613; 8.12;   1.82; 1.126;K0III
 10614; 9.33;   6.12; 0.069;A0
 10615; 8.28;   1.03; 0.092;B0IIIp
 10616; 9.41;  18.18; 0.850;K7
 10617;12.02;  70.16; 1.583;
 10618; 7.01;   1.53; 1.824;K4II
 10619; 9.55;  11.93; 0.692;G8
 10620; 9.66;   6.61; 0.553;F7V
 10621; 7.78;  16.81; 0.515;F7V
 10622;11.48;   5.28; 0.610;G0V
 10623; 6.45;   7.62; 0.951;K0
 10624; 7.39;   1.83; 0.233;B2Ib
 10625; 8.65;   0.84; 1.731;K7
 10626; 7.61;  21.97; 0.642;G0
 10627; 8.07;   3.29; 1.115;K0III
 10628; 7.44;   1.49; 0.924;G5
 10629; 8.30;  25.82; 0.674;G8V
 10630; 8.77;   0.38; 1.235;K0
 10631; 7.66;   7.07; 0.472;F8
 10632; 9.48;   7.10; 0.466;G0
 10633; 6.48;   1.37; 0.281;B1Iab
 10634; 8.52;  11.72; 0.581;G0
 10635; 8.53;   5.55; 0.888;G8III/IV
 10636; 8.91;   0.59; 0.200;A0
 10637; 9.28;   9.92; 0.419;F3V
 10638; 8.98;   7.53; 0.573;F8V
 10639; 8.72;   3.00; 0.048;B8V
 10640; 7.30;   6.10; 0.056;A0
 10641; 7.51;   2.92; 0.138;B2Ib
 10642; 5.51;   9.58; 0.962;G8III
 10643; 8.80;   2.50; 1.023;K0
 10644; 4.84;  92.20; 0.607;G0V
 10645; 9.73;   3.21; 0.994;G5
 10646; 9.50;   3.51; 0.623;G0V
 10647; 7.88;   2.37; 1.035;G5
 10648; 8.57;   9.63; 0.460;G0
 10650; 8.80;   1.97; 1.119;K0III
 10649; 8.98;   9.91; 0.571;G3V
 10651; 8.79;   5.89; 1.192;K2/K3III
 10652; 9.06;  14.43; 0.621;G5
 10653;10.02;  13.01; 0.750;
 10654; 7.65;   2.87; 0.070;A0
 10655; 8.52;   9.14; 0.365;F0V
 10656; 8.69;   4.32; 0.166;A0
 10657; 6.53;   6.79; 1.025;G9III
 10658; 7.99;  10.91; 0.436;F3V
 10659; 8.69;       ; 0.582;F8
 10660; 8.06;  11.17; 0.462;F5V
 10661; 8.69;  14.15; 1.200;F8
 10662; 8.52;   0.99; 1.098;K0
 10663;10.62;   6.80; 0.570;F5
 10664; 7.29;   7.78; 0.374;F0
 10665; 9.12;   2.07; 1.216;K2
 10666; 9.25;   2.52; 0.304;A
 10667; 7.68;   8.30; 0.300;F0
 10668;10.98;  15.49; 1.020;K2
 10669; 8.61;   4.50; 0.161;A0
 10670; 4.03;  27.73; 0.019;A1Vnn
 10671; 9.01;   4.56; 1.193;K0
 10672; 8.55;  15.37; 0.567;G0
 10673; 6.70;  10.35; 0.989;K0III
 10674; 8.87;   4.60; 0.309;A2
 10675; 8.74;   3.99; 1.439;K3/K4III
 10676; 8.77;   0.01; 1.496;K3/K4III
 10678; 9.15;   7.12; 0.394;G0
 10677; 8.22;  19.09; 0.628;G2V
 10679; 7.75;  29.40; 0.622;G2V
 10680; 6.99;  25.37; 0.518;F5V
 10681; 7.61;  22.55; 0.574;F8
 10682;10.93;  18.51; 1.058;G8V
 10683; 7.69;  10.02; 0.524;F6V
 10684; 8.07;   2.31; 1.107;K0
 10685;11.16;   6.30; 0.775;
 10686; 9.11;  -0.47; 1.485;M0III:
 10687; 8.60;  -1.17; 1.079;M7:Sev
 10688;11.48;  40.40; 1.446;M
 10689;12.54;       ;      ;
 10690; 7.48;   9.39; 0.249;Am
 10691; 8.19;   2.98; 0.155;A0
 10692; 8.36;   7.60; 0.435;F3IV/V
 10693; 8.46;   1.85; 1.318;G5
 10694; 8.10;  16.62; 0.646;G2V
 10695; 7.80;   7.89; 0.407;F0
 10696; 9.02;   9.56; 0.451;F3V
 10697; 9.71;   9.08; 0.484;F8
 10698; 9.20;   0.37; 0.130;B9
 10699; 9.27;   3.98; 0.730;G3V
 10700; 7.71;   2.02; 1.407;K2
 10701; 7.43;  11.80; 0.303;F0
 10702; 8.83;   3.17; 0.507;A2V
 10703; 9.90;   5.76; 0.660;G0
 10704; 8.31;  -0.58; 0.133;B5Ib
 10705; 7.71;   5.90; 1.162;K0
 10706; 9.63;   2.82; 0.305;A8/A9V
 10707; 7.93;   2.62; 1.086;K0
 10708; 7.42;   3.59; 1.485;K0
 10709; 8.65;   2.64; 1.217;K2/K3III
 10710; 8.90;  15.00; 0.664;G0
 10711; 8.89;  14.36; 0.800;G0
 10712;11.62;  36.24; 1.520;K:...
 10713; 8.73;   3.45; 0.127;A0
 10714; 6.68;   1.98; 1.715;M0III
 10715; 8.68;  14.76; 0.638;G5
 10717; 7.94;   2.29; 0.016;B8
 10716; 8.25;  13.34; 0.500;F5V
 10718; 5.75;   8.61; 1.175;K3III
 10719; 8.37;   2.29; 1.615;M1III
 10720; 9.06;   7.04; 0.469;F5V
 10721; 6.89;   3.29; 0.998;G5
 10722; 8.18;   4.67; 0.800;G1:IVp
 10723; 5.60;  40.04; 0.588;G0.5IV
 10724;10.75;   1.57; 0.580;F2
 10725; 8.51;  18.04; 0.638;G3V
 10726;10.76;   3.69; 0.595;F8
 10727; 7.67;  13.68; 0.369;F0
 10728; 7.24;   9.81; 0.381;F2V
 10729; 5.99;   4.59; 1.039;G7III
 10730; 7.84;   6.68; 0.309;A5
 10731; 7.44;   8.32; 0.171;A3
 10732; 5.58;   8.42; 0.011;A1Vn
 10733; 7.69;   0.99; 1.436;M5III
 10734; 8.10;   1.44; 1.612;K2
 10735; 9.24;  12.00; 0.530;F5
 10736; 7.26;   5.58; 0.236;A3
 10737; 9.73;   6.46; 0.488;F5
 10738; 8.33;   4.15; 0.884;G5
 10739; 8.82;   8.40; 0.642;G2V
 10740; 8.37;   8.36; 0.345;A9/F0V
 10741;10.03;  23.52; 0.990;K2V
 10742; 7.74;   3.06; 1.575;M2III
 10743; 7.52;  14.95; 0.545;F8
 10744; 8.85;   2.07; 1.074;K2III
 10745; 8.33;   3.36; 1.208;K2III
 10746; 8.46;   7.61; 0.573;G0
 10747; 8.38;   0.91; 1.555;M...
 10748; 8.65;   1.16; 0.012;A
 10749; 8.09;   3.68; 0.056;A2
 10750; 7.66;   2.94; 1.280;K0
 10751; 8.57;   9.03; 0.450;F7IV
 10752;11.14;   1.86; 0.734;G5
 10753; 9.58;   5.29; 0.420;G5
 10754; 8.91;  11.65; 0.524;F7/F8V
 10755; 8.41;   3.55; 1.071;K2
 10756; 8.94;  -0.77; 1.500;K5
 10757; 8.80;  10.31; 0.677;G0
 10758; 8.39;  11.40; 0.579;G0
 10759; 9.45;   3.43; 0.469;F3V
 10760; 9.52;   6.09; 0.540;F7V
 10761; 7.49;   4.31; 0.989;G5
 10762; 8.96;  -0.05; 1.548;M1III
 10763; 8.08;   1.82; 0.818;G0
 10764; 8.67;   6.21; 0.899;G5
 10765; 8.63;   4.30; 0.500;F5V
 10766; 8.46;   6.27; 1.320;K0
 10767; 7.79;   4.04; 0.476;F0
 10768; 8.25;   5.55; 1.040;G8IV
 10769; 8.33;   8.54; 0.401;F2
 10770;10.86;   2.51;      ;
 10771; 7.82;   1.20; 1.597;K2
 10772; 7.32;   8.83; 0.424;F2
 10773; 8.77;   1.90; 0.040;A0
 10774; 7.48;   7.59; 0.629;G0IV comp
 10775; 7.72;   3.51; 0.719;G5...
 10776; 6.84;   6.57; 1.095;K0
 10777; 8.77;   3.86; 0.184;A0
 10778; 9.98;  23.06; 0.897;K5
 10779; 9.03;  14.36; 0.656;G1V
 10780; 7.14;   0.76; 0.529;B9Ia
 10781; 7.97;  12.43; 0.436;F2
 10782; 7.87;   4.93; 1.233;K2III
 10783; 7.67;  10.83; 0.405;F5
 10784; 6.88;   4.40; 1.211;G5
 10785; 9.71;   0.38; 1.124;K0
 10786; 8.71;  14.78; 0.602;G0V
 10787; 6.87;   3.29; 1.561;K5III
 10788;10.67;   5.74; 0.499;F5
 10789;11.75;  22.20; 1.494;
 10790; 9.48;   3.41; 0.706;G2IV
 10791; 8.74;   1.34; 1.052;K0
 10793; 5.29;   9.31; 0.037;A2V
 10792; 7.63;   8.32; 0.189;A3
 10794; 9.40;   2.58; 0.233;B9V
 10795; 6.45;   9.51; 0.376;A7V
 10796; 8.93;   9.53; 0.446;G0
 10797; 7.92;   1.59; 1.354;K3III
 10798; 6.33;  78.88; 0.724;G8V
 10799; 8.72;   3.31; 0.043;A2V
 10800; 6.98;   5.74; 0.904;G5
 10801; 8.46;   3.85; 1.160;G5
 10802;10.28;   4.66; 0.415;F5
 10803; 9.11;   9.07; 0.439;F5V
 10804; 8.17;   3.69; 1.111;K1IV/V
 10805; 6.57;  -0.93; 0.464;B3Ia
 10806; 7.82;   3.82; 1.138;K0II/III
 10807;12.72;  -2.51;      ;Fp
 10808; 9.19;   2.50; 1.300;K5
 10811; 8.34;   3.03; 1.160;K1III
 10810; 6.82;  29.74; 0.566;F8
 10809; 9.23;   5.60; 0.456;A3m...
 10812;11.59;  71.56; 1.510;
 10813; 7.44;   3.86; 0.957;G5
 10814; 6.21;   7.22; 0.164;A4V
 10815; 9.80;  -2.93; 1.179;K7
 10816; 6.65;   0.69; 0.500;B2Ia
 10817; 7.23;   4.52; 1.576;K5
 10818; 8.48;  25.51; 0.740;G0
 10819; 5.31;  12.77; 0.006;A1V
 10820; 7.89;   3.41; 0.985;G5
 10821; 8.69;  -1.49; 1.044;G5
 10822; 7.52;   3.65; 1.512;K0
 10823; 8.21;   3.35; 0.315;A5
 10824; 9.10;  -2.24; 0.060;A0
 10825; 9.33;   9.98; 0.615;G0
 10826; 6.47;   7.79; 0.966;M5e-M9e
 10827; 9.39;   6.05; 0.413;G
 10828; 8.25;   7.53; 0.343;A9IV
 10829; 8.35;   1.92; 2.287;M2Iab:var
 10830; 6.44;  15.50; 0.427;F4V
 10832; 6.36;   6.10; 1.162;K2III
 10831; 8.61;   0.06; 1.426;K3III
 10833;11.66;   2.47; 0.288;A5
 10834; 7.73;  14.53; 0.501;F6/F7V
 10835; 8.39;   3.71; 1.568;K2
 10836; 7.67;   3.94; 1.054;G8/K0III
 10837; 8.93;   4.04; 0.986;K0III
 10838; 7.28;   4.32; 0.938;G5III
 10839; 8.55;   2.69; 1.087;K0III
 10840; 9.31;   1.09; 1.051;G8III
 10841; 8.95;   3.75; 1.629;M1/M2III
 10842; 8.12;  26.00; 0.678;G5V
 10843; 7.88;   4.02; 1.216;K3IIICN...
 10845; 8.03;   4.67; 0.060;A0
 10844; 8.26;   3.18; 0.275;A2IV
 10846; 9.54;   8.68; 0.843;G8IV
 10847; 8.22;   3.83; 1.024;G5
 10848; 6.63;   4.98;-0.082;B8V
 10849; 7.19;   2.52;-0.063;B2V
 10850; 8.85;   5.53; 0.552;F8/G0V
 10851; 7.92;   1.80; 1.656;M4II
 10852; 7.97;   3.56; 1.134;K0III
 10853; 7.65;   4.41; 1.166;K1III
 10854; 6.50;   5.98; 0.082;A3V
 10855; 7.18;   4.16; 1.002;G5II
 10856; 6.94;   4.78; 0.224;A2V
 10857; 9.57;   5.11; 0.493;F5V
 10858; 9.34;  12.07; 0.625;G1V
 10859; 8.50;  12.54; 0.484;F6V
 10860; 8.72;   0.39; 1.543;K5/M0III:
 10861; 9.20;  -1.36; 1.857;
 10862; 7.38;   6.82; 0.233;A6V
 10863; 8.85;   2.38; 1.046;K0
 10864; 8.22;  27.96; 0.907;K2V
 10865; 8.60;   5.94; 0.389;A9V
 10866; 8.78;   8.65; 0.524;F7V
 10867; 8.18;   0.91; 0.182;A1V
 10868; 7.19;  16.14; 0.596;F5
 10869; 8.96;   2.92; 1.075;K0
 10870; 8.52;  10.73; 0.556;G1V
 10871; 5.81;   5.78; 1.570;K5III
 10872; 7.73;   2.72; 0.845;G5
 10873; 8.27;   0.34; 0.310;B9III
 10874;10.51;  27.80; 1.138;
 10875; 9.02;   4.14; 1.250;K
 10876; 9.49;  10.99; 0.667;K0:IV/V+...
 10877; 9.20;   3.95; 1.279;K2V
 10878; 9.02;   6.23; 0.442;F2V
 10879; 8.85;   6.85; 0.482;F3V
 10880; 9.62;   2.37; 0.285;A2m...
 10881; 7.39;   1.12; 1.669;K5
 10882; 8.82;   3.48; 0.876;K0III
 10883;10.05;   8.24; 0.597;G3V
 10884; 6.51;   4.51; 1.223;K0
 10885; 8.06;   9.15; 0.502;F5
 10886; 8.10;  11.95; 0.757;G0
 10887; 8.49;   1.69; 1.103;K1IIICN...
 10888; 9.01;   6.89; 0.517;G5
 10889; 8.07;   5.49; 0.308;A9V
 10890; 6.64;  17.34; 0.521;F5
 10891; 9.47;   1.17; 0.962;G8/K0III
 10892; 8.32;   7.48; 0.468;F5
 10893; 6.59;   6.93;-0.023;B9.5V
 10894; 9.58;   3.75; 0.868;K0
 10895; 8.01;   3.84; 1.200;K0
 10896; 8.62;   3.24; 0.225;A0III/IV
 10897; 7.61;   3.33; 1.536;M0III
 10898; 7.24;   3.44; 1.267;K2III
 10899; 7.71;   4.48; 1.121;K1III
 10900; 7.98;   2.70; 1.136;K1III
 10901; 7.83;   2.51; 0.981;G8/K0III
 10902;10.76;  -1.26; 0.860;
 10903; 8.26;   4.44; 1.256;K2III
 10905; 8.95;   4.14; 0.447;F5
 10904; 8.22;   2.36; 2.614;M2Iab
 10906; 7.79;  12.57; 0.486;F5V
 10907; 6.69;   6.84; 0.948;K0III
 10908;11.94;   1.02;      ;
 10909; 8.23;   4.07; 1.067;K0III
 10910; 8.33;   3.30; 0.855;G6III/IV
 10911; 9.67;  15.75; 0.766;K0V
 10912;10.19;   5.08; 0.551;G5
 10913; 9.33;   1.96; 0.934;G8IV/V
 10914; 8.71;   0.70; 1.050;G8/K0III/IV
 10915; 7.91;  15.30; 0.470;G0
 10916; 8.29;   4.89; 0.437;F5
 10917; 9.19;   0.61; 1.160;K4III
 10918; 8.46;   3.59; 1.009;G5
 10919; 7.34;   3.94; 1.449;K0
 10920;11.81;  10.03; 1.273;K7
 10921; 9.12;  18.40; 0.790;K0
 10922; 8.62;   2.80; 0.052;A0
 10923; 7.70;   1.31; 1.613;M0III
 10924; 6.17;   3.90;-0.094;B5V
 10925; 8.67;  39.30; 1.031;K3/K4V
 10926; 6.76;   0.59; 0.316;B8Ib
 10927; 7.68;   7.13; 1.103;K2III
 10928; 7.89;   5.34; 0.932;K0III
 10929; 7.72;   3.57; 1.017;G8III
 10930;11.06;   2.91; 0.643;G0
 10931; 9.07;   8.87; 0.574;G0V
 10932;10.67;   4.75; 0.500;F8
 10933; 7.46;  11.51; 0.383;F0
 10934; 9.06;  -0.24; 0.089;B9
 10935; 8.45;   0.02; 0.164;B0III
 10936; 9.34;   3.86; 1.136;K0
 10937; 8.39;   2.41; 1.424;G5
 10938;10.92;  25.85;      ;
 10939; 8.25;   5.62; 1.160;G5
 10940; 7.77;  18.53; 0.529;F8V
 10941; 9.84;  14.91; 1.047;K1V:
 10942; 8.16;   2.27; 1.560;K0
 10943; 8.23;   1.86; 1.359;K3III
 10944; 5.57;   9.15;-0.089;B9p Si
 10945; 9.85;  13.46; 0.700;G5
 10946; 7.29;   3.80; 1.133;K0
 10947;10.50;  12.89; 0.934;
 10948; 9.55;   6.84; 0.589;F7V
 10949; 9.24;   1.56; 0.925;G8IV
 10950; 7.63;   7.40; 0.335;F0
 10951; 7.26;   5.06;-0.029;Ap...
 10952; 8.79;  16.36; 0.849;K0
 10953; 9.91;   4.58; 0.565;F8
 10954; 8.15;   3.06; 1.086;K1II-III
 10956; 7.74;   1.61; 0.068;A0
 10955; 8.80;   3.88; 1.431;K0
 10957; 9.17;   4.04; 0.884;G5
 10958; 8.13;   4.36; 1.003;G8III
 10959;10.06;   9.92; 0.826;G8V
 10960;10.31;  34.89; 1.322;K8
 10961; 6.86;  15.00; 0.456;F5
 10962; 9.61;   8.26; 0.552;F7V
 10963; 6.53;   7.37; 0.979;K0III
 10964; 7.46;   1.84; 1.518;M...
 10965; 9.40;   2.17; 1.107;G5
 10966; 8.53;   2.28;      ;A3
 10967; 8.44;   3.13; 1.173;K2III
 10968; 8.63;   0.79; 1.635;K2
 10969; 7.44;   2.52; 1.209;K0II
 10970; 9.30;  10.33; 0.555;G1V
 10971; 8.42;   7.09; 0.430;F5
 10972; 8.77;  14.81; 0.701;G0
 10973; 9.28;  13.91; 0.652;G5V
 10974; 9.55;   3.23; 0.493;B2
 10975; 7.70;   6.30; 0.401;F0
 10976; 8.64;   9.56; 0.528;F6V
 10977; 8.82;  32.50; 0.918;K2/K3V
 10978; 9.07;  13.25; 0.568;F8V
 10979; 8.99;   1.85; 0.122;A0
 10980;10.61;   3.94; 0.248;A9V
 10981; 8.33;   2.14; 0.067;A0
 10982; 9.41;   4.22; 1.613;K2
 10983; 7.49;   3.60; 0.100;K1III
 10984; 8.34;   3.88; 1.155;K0III
 10985; 7.00;   7.20; 0.244;A2
 10986; 8.35;   1.65; 1.394;K3III
 10987; 9.00;   9.58; 0.480;F8
 10988; 8.94;   1.46; 1.053;K1IIICN...
 10989; 9.43;  23.73; 0.905;K3V
 10990; 8.13;   9.83; 0.684;G3V
 10991; 9.61;   9.62; 0.620;G1V
 10992; 8.93;   5.28; 0.610;G0
 10993; 7.82;   7.44; 0.375;F0IV/V
 10994; 7.56;   4.20; 0.935;G5
 10995; 7.78;   0.06; 2.260;M2Ib
 10996; 9.56;   6.50; 0.725;G8V
 10997; 8.59;   2.47; 1.386;K4III
 10998; 9.52;   8.61; 0.482;F6IV/V
 10999; 8.45;   1.25; 0.889;G5
 11000; 9.07;  37.34; 1.079;K0
 11001; 4.08;  24.10; 0.034;A3V
 11002; 8.93;   4.80; 0.361;A
 11003; 7.79;   3.87; 1.187;G5
 11004; 8.11;   4.05; 0.151;A3
 11005;11.30;  14.78; 1.157;K7
 11006; 8.97;   6.77; 0.412;F2V
 11007; 7.90;   5.37; 0.069;A0
 11008; 8.42;   2.63; 0.988;G5
 11009; 8.28;   2.43; 0.956;K0III
 11011; 9.49;   6.76; 0.604;G0V
 11010; 7.26;   1.67; 1.552;K2
 11012; 8.60;   4.73; 1.018;G5
 11013; 7.32;  10.20; 0.372;F2/F3V
 11014; 9.64;   2.14; 0.607;B8
 11015; 7.91;   4.77; 1.072;K0
 11016; 9.98;   3.91; 0.417;F0
 11017; 8.38;   4.91; 1.008;K0III/IV
 11018; 8.52;  -0.97; 0.097;O6.5...
 11019; 8.86;   6.81; 0.342;F0
 11020; 6.40;   1.11; 0.569;A1Ia
 11021; 5.29;   2.49; 1.648;M2III
 11022; 7.37;   3.95; 0.891;G6III
 11023;10.52;   4.25; 0.801;
 11025; 8.98;   9.73; 0.501;F5V
 11024; 7.90;  22.23; 0.644;G5V
 11026; 9.72;   4.09; 0.564;G0
 11027; 8.15;  11.69; 0.481;F5
 11028; 8.26;  25.23; 0.720;G0
 11029; 5.43;  33.48; 0.364;F0V
 11030; 7.19;   4.79; 0.969;G8IV
 11031; 8.17;   5.75; 0.278;A3
 11032; 8.52;   2.52; 1.091;K0
 11033; 5.89;   6.47; 1.231;K2III
 11034; 9.41;   2.05; 0.493;F3V
 11035; 6.57;   4.39; 0.796;G2IV
 11036; 8.61;   3.72; 0.389;F2IV/V
 11037; 8.35;   5.49; 0.069;A0
 11038; 7.87;   7.81; 1.161;K2III
 11039; 8.41;   2.40; 1.574;M3III
 11040; 8.92;   0.42; 1.066;K1III
 11041; 8.26;   5.53; 1.066;G8/K0III
 11042; 9.32;   2.79; 1.382;K5
 11043; 6.30;   7.39; 0.991;K0III
 11044; 7.47;   6.48; 0.309;F0III/IV
 11045;10.34;  12.73; 0.890;
 11046; 5.42;  11.68; 0.335;F0Vn
 11047; 8.60;   1.54; 1.476;K5III:
 11048; 9.40;  83.93; 1.466;M2
 11049; 9.23;   2.62; 1.104;K1III
 11050; 8.67;   2.16; 1.053;K0
 11051; 8.01;   3.11; 1.621;M2/M3III
 11052; 8.51;   1.85; 1.185;K0
 11053; 8.46;  13.69; 0.715;G5V
 11054; 9.17;   6.78; 0.542;F7V
 11055; 8.92;   1.13; 1.198;K1III
 11056;10.45;   8.27; 0.394;G1V
 11057; 7.32;   4.76; 1.154;K1IIICN...
 11058; 8.63;   0.31; 1.495;
 11059; 8.36;   8.56; 0.440;F3V
 11060; 5.16;   1.59; 0.369;A2Ia
 11062; 8.30;   2.42; 1.064;K0
 11061; 9.52;   6.74; 0.533;F7V
 11063; 8.00;   2.87; 1.267;G5
 11064;10.47;  -1.48; 0.592;F8
 11065; 7.56;   3.73; 1.250;K2III
 11066; 8.43;  -1.30; 0.913;G6/G8V
 11067; 7.19;   9.01; 0.571;F8
 11068; 9.29;   8.40; 0.724;G5V
 11069;10.22;   1.50; 0.172;A0
 11070; 8.68;   5.54; 1.211;K0
 11071;10.67;  20.65; 1.156;
 11072; 5.19;  45.60; 0.608;G2V
 11073; 8.74;   0.79; 1.297;K2/K3III
 11074; 7.92;   5.75; 0.523;F5
 11075; 6.78;   9.34; 0.152;A2V
 11076; 8.92;   9.02; 0.458;G0
 11077; 9.31;   2.38; 0.318;A
 11078; 7.80;   2.75; 1.128;K0III
 11079; 8.50;   1.85; 1.284;K0
 11080; 9.39;   3.33; 0.520;B9Ib
 11081; 9.13;   6.00; 0.431;F8
 11082;10.14;   4.09; 0.564;F8
 11083; 8.83;  29.51; 0.906;K0
 11085; 8.75;   5.38; 0.546;F8
 11084; 9.02;   5.80; 0.143;A1V
 11086; 8.23;   0.47; 0.072;B9
 11087; 8.79;   5.63; 0.195;A0
 11088; 7.69;   1.11; 0.028;A1/A2IV
 11089; 9.61;   2.38; 0.470;B5
 11090; 5.81;  21.16; 0.289;F0III-IV
 11091; 8.84;   4.47; 0.972;G8/K0III
 11092; 7.69;   5.34; 0.204;A2
 11093; 9.69;   0.62; 1.500;M3Iaevar
 11094; 9.14;   9.65; 0.602;G3V
 11095; 5.99;  10.26; 1.088;K0III
 11096; 8.80;   2.86; 0.977;K0III
 11097; 7.26;   6.72; 1.107;G5
 11098; 7.48;   0.37; 0.634;A2Ia
 11100; 9.08;   0.99; 1.054;G5
 11099; 7.46;   1.10;-0.204;O8.5V
 11102; 5.90;  16.30; 0.213;A5V
 11101; 9.65;   6.26; 0.280;B8
 11103; 9.46;   3.13; 0.571;F8...
 11104; 8.00;   6.26; 1.260;K2III
 11105; 8.23;   4.43; 0.939;G5
 11106; 7.62;   7.01; 0.394;F0
 11107; 9.72;   4.60; 0.545;F6V
 11108; 6.22;   8.41; 0.942;G8/K0III
 11109; 8.46;   7.01; 0.217;A0
 11110; 8.96;   2.33; 0.062;A0
 11112; 7.45;   6.97; 0.170;A2
 11111; 8.94;  26.92; 0.882;K2V
 11113; 8.85;   5.38; 0.159;A3/A4V
 11114; 8.88;   6.44; 0.402;G5
 11115; 6.99;   1.29; 0.540;B8Ia
 11117; 7.97;   7.36; 1.107;K0
 11116; 8.43;   0.59;-0.100;B7III/IV
 11118; 8.85;   7.62; 0.660;F7IV
 11120; 7.76;   3.39; 0.580;F5
 11121; 6.47;   2.78; 1.592;K2III
